training_losses,test_losses
0.0001666021125856787,0.0016282681996623676
6.977890734560788e-05,0.000757688921617551
8.068839088082314e-05,0.00044982900403233036
7.062830263748765e-05,0.0003031136972519259
0.00010988737631123513,0.0002064865143943785
0.0001273549860343337,0.0001525587366712797
7.959223876241595e-05,0.00011573244410101324
9.388691978529096e-05,9.332146227178682e-05
0.00010951429430861026,8.031017326478225e-05
5.565341416513547e-05,7.288381150121697e-05
5.4716325394110754e-05,6.92207557019881e-05
8.42240551719442e-05,6.803757504611794e-05
5.996425170451403e-05,6.857261097239744e-05
5.832564056618139e-05,6.998894039295717e-05
7.740420551272109e-05,7.11254639706264e-05
5.649436934618279e-05,7.16830872988794e-05
8.273796993307769e-05,7.12024516865818e-05
5.89489281992428e-05,6.960124867166289e-05
9.161254274658859e-05,6.72268943162635e-05
5.9258971305098385e-05,6.471138476626948e-05
8.014066406758502e-05,6.249795034010377e-05
4.798601003130898e-05,6.05581412350552e-05
8.852954488247633e-05,5.913748747035344e-05
3.5127868613926694e-05,5.82366260965096e-05
9.568550740368664e-05,5.783483882421731e-05
4.8136949772015214e-05,5.770847403457285e-05
6.302614929154515e-05,5.767927561666713e-05
8.96824203664437e-05,5.770966163254343e-05
5.898435847484507e-05,5.764071708351063e-05
7.20451062079519e-05,5.754114560356053e-05
6.136921001598239e-05,5.727800493736545e-05
2.5328488845843822e-05,5.672960711914735e-05
6.509073136840016e-05,5.6261211284436285e-05
3.529888635966927e-05,5.583947939966391e-05
6.147934618638828e-05,5.558517336289192e-05
5.806716944789514e-05,5.5451089994878406e-05
2.5927400201908313e-05,5.549036803939897e-05
4.2967189074261114e-05,5.5617067927313554e-05
4.8285604862030596e-05,5.569476949555489e-05
8.411431917920709e-05,5.54883283459478e-05
0.00010349069634685293,5.5047650271767954e-05
5.826443521073088e-05,5.4720041791572134e-05
7.981330418260768e-05,5.448258687263458e-05
8.936707308748737e-05,5.433534331839635e-05
3.9749345887685195e-05,5.428679934185412e-05
3.8243837479967624e-05,5.415874329628423e-05
6.785709410905838e-05,5.402817906643678e-05
4.778447328135371e-05,5.3771107357331654e-05
5.012428300688043e-05,5.347056422680099e-05
7.092176383594051e-05,5.322193384118792e-05
4.533150786301121e-05,5.2990732203599895e-05
7.08438383298926e-05,5.280790719552897e-05
5.080516712041572e-05,5.264777306971761e-05
7.840967737138271e-05,5.247513197698734e-05
5.240278915152885e-05,5.231744418981382e-05
7.244083826662973e-05,5.2180040559809036e-05
4.2596097046043724e-05,5.2035982258126344e-05
7.942624506540596e-05,5.19173376637304e-05
3.0120289011392742e-05,5.182827428345465e-05
8.56243132147938e-05,5.1787165122934515e-05
4.237080429447815e-05,5.169302676222287e-05
5.456168582895771e-05,5.155312424499748e-05
8.088850154308602e-05,5.14271596330218e-05
5.6769691582303494e-05,5.130946980595278e-05
6.418884731829166e-05,5.124929965758282e-05
5.668816083925776e-05,5.11735367278258e-05
2.144977952411864e-05,5.09412542063122e-05
5.991319994791411e-05,5.076912566437386e-05
3.0781324312556535e-05,5.0583304174425495e-05
5.3170537285041064e-05,5.0501120212073955e-05
5.474088175105862e-05,5.042442272598338e-05
2.456980655551888e-05,5.041095250312032e-05
4.0779799746815115e-05,5.050953728237396e-05
4.435025039128959e-05,5.055923328553844e-05
7.479179475922137e-05,5.0307924134863744e-05
9.405877062818035e-05,4.9992271669907495e-05
5.2766343287657946e-05,4.9968655932591195e-05
7.626005390193313e-05,5.0086346972319814e-05
8.097324462141842e-05,5.025011099254092e-05
3.749751340365037e-05,5.02503260375104e-05
3.440771615714766e-05,4.996098424372677e-05
6.074384509702213e-05,4.964205961894347e-05
4.236807217239402e-05,4.9321301048621535e-05
4.81728529848624e-05,4.9148732311247535e-05
6.929521623533219e-05,4.909432067910934e-05
3.9479251427110285e-05,4.904511944106263e-05
6.522085459437221e-05,4.893110073882983e-05
4.800713213626295e-05,4.8747650402623956e-05
7.256738899741322e-05,4.8682798983969e-05
5.140741996001452e-05,4.883850366847279e-05
6.824875890742987e-05,4.9148777179652825e-05
3.996110535808839e-05,4.9172576028569085e-05
7.382489275187254e-05,4.9376159343713276e-05
2.9067701689200476e-05,4.9318367625043415e-05
7.71994236856699e-05,4.9200427585876445e-05
3.951972030336037e-05,4.879338020044896e-05
4.781026655109599e-05,4.835621075471863e-05
7.461682253051549e-05,4.8112337632725634e-05
5.7626868510851637e-05,4.79907927607807e-05
6.250650039874017e-05,4.793960639896492e-05
5.477987360791303e-05,4.797919690544303e-05
1.9875003999914043e-05,4.785006442236611e-05
5.6596116337459534e-05,4.777860037089946e-05
2.7951577067142352e-05,4.760546330039183e-05
4.5848595618736e-05,4.748182739907255e-05
5.17503431183286e-05,4.7417906494552474e-05
2.517530447221361e-05,4.70598828946499e-05
3.9550253859488294e-05,4.681575470992053e-05
4.230135527905077e-05,4.6605588472124917e-05
6.625787500524893e-05,4.643700332154468e-05
8.36422696011141e-05,4.653231553675141e-05
4.753263056045398e-05,4.665768291387293e-05
7.26166763342917e-05,4.676567550632171e-05
7.697480032220483e-05,4.672366614815676e-05
3.567349995137192e-05,4.6393841936757475e-05
3.162390203215182e-05,4.586161877442565e-05
5.444214912131429e-05,4.56060378281917e-05
3.7688187148887664e-05,4.559988620813884e-05
4.607341543305665e-05,4.56509256360328e-05
6.766943261027336e-05,4.54947193146735e-05
3.5831635614158586e-05,4.525902901756732e-05
5.875541683053598e-05,4.516534156411783e-05
4.5109056372893974e-05,4.537318010180671e-05
6.685560947516933e-05,4.6152566533742676e-05
4.891609933110885e-05,4.674928277381696e-05
6.377403042279184e-05,4.68073938261821e-05
3.73558905266691e-05,4.61319016014588e-05
7.062299846438691e-05,4.579282095720474e-05
2.8486800147220492e-05,4.526068813801329e-05
6.940864841453731e-05,4.507667169188304e-05
3.569928230717778e-05,4.503474661356045e-05
4.361067112768069e-05,4.4908718336955644e-05
7.088040001690388e-05,4.489339719131951e-05
5.646439967676997e-05,4.503579030925822e-05
6.190912245074287e-05,4.536195329920803e-05
5.326850077835843e-05,4.5713577694388936e-05
2.0744697394547984e-05,4.545381974215464e-05
5.405750562204048e-05,4.5133352210137266e-05
2.6437792257638648e-05,4.464151586742244e-05
4.0343173168366775e-05,4.431967681739479e-05
4.963835817761719e-05,4.407538027509064e-05
2.331922951270826e-05,4.387477990045833e-05
3.8751364627387375e-05,4.385746918463459e-05
4.093605821253732e-05,4.375627233659745e-05
6.201674841577187e-05,4.352396839143088e-05
7.60660259402357e-05,4.3735402464840765e-05
4.4291904487181455e-05,4.4146118347675336e-05
7.134016777854413e-05,4.441547712809147e-05
7.437886961270124e-05,4.4324121012727526e-05
3.515763091854751e-05,4.380739462956424e-05
2.845008384610992e-05,4.328422882180247e-05
5.173301906324923e-05,4.3296638775953194e-05
3.581546479836106e-05,4.3702825981502734e-05
4.547563730739057e-05,4.3938951017076354e-05
6.652626325376332e-05,4.355706470151846e-05
3.3863881981233135e-05,4.308048523348084e-05
5.424655682872981e-05,4.301366182820251e-05
4.4075524783693254e-05,4.35143350235497e-05
6.334201316349208e-05,4.471009621435466e-05
4.712175723398104e-05,4.5404156278689494e-05
6.056642087060027e-05,4.516102449593341e-05
3.529641617205925e-05,4.4096512687651237e-05
6.869660865049809e-05,4.355558869267245e-05
2.788723577396013e-05,4.302933605989286e-05
6.553675484610721e-05,4.2940989159332174e-05
3.422386362217367e-05,4.306683210112775e-05
4.1683837480377406e-05,4.299452100692886e-05
6.957612640690058e-05,4.3001775338780135e-05
5.575339309871197e-05,4.3234093431642075e-05
6.123067578300834e-05,4.3718357725689806e-05
5.1765000534942374e-05,4.418917059309832e-05
2.1571755496552214e-05,4.387892921739775e-05
5.291145498631522e-05,4.3390684974535056e-05
2.5689671019790694e-05,4.282914839374522e-05
3.763431595871225e-05,4.257219491895133e-05
4.838546010432765e-05,4.234226899926499e-05
2.1784524506074376e-05,4.2279491026420146e-05
3.8374819268938154e-05,4.2334897847872023e-05
4.0018265281105414e-05,4.215897913834649e-05
5.92692886129953e-05,4.1862527319204266e-05
7.13494373485446e-05,4.228624311508611e-05
4.288960190024227e-05,4.286909380526696e-05
7.0842812419869e-05,4.312895261035818e-05
7.251877104863524e-05,4.284859864532741e-05
3.456023114267737e-05,4.226964564521849e-05
2.6510449970373884e-05,4.20237578914061e-05
5.034111381974071e-05,4.249190169502981e-05
3.529540481395088e-05,4.315915046188618e-05
4.5398111979011446e-05,4.319605108725632e-05
6.56193878967315e-05,4.241459828335792e-05
3.2130181352840737e-05,4.1856026655295864e-05
5.129524288349785e-05,4.199289509819614e-05
4.309164796723053e-05,4.2740462352715745e-05
6.191794818732888e-05,4.3794570552159305e-05
4.667576286010444e-05,4.397294469526969e-05
5.815349504700862e-05,4.315813708267847e-05
3.314597415737808e-05,4.2073683693565224e-05
6.780244439141825e-05,4.172284712290598e-05
2.6878817152464762e-05,4.151554619764081e-05
6.295710045378655e-05,4.151950068060412e-05
3.329493847559206e-05,4.165630970318388e-05
4.036869358969852e-05,4.1515423112691176e-05
6.818148540332913e-05,4.154319645345418e-05
5.539227640838362e-05,4.1808446338917645e-05
5.9816011344082654e-05,4.23204540614582e-05
5.116154352435842e-05,4.270760938298837e-05
2.2106405594968237e-05,4.2295467008241554e-05
5.270325709716417e-05,4.187327067484148e-05
2.5233593987650238e-05,4.1535414008346074e-05
3.597833347157575e-05,4.151106117610147e-05
4.856849409407005e-05,4.133958241760006e-05
2.0986204617656767e-05,4.135727673807802e-05
3.754297358682379e-05,4.1362671456429074e-05
3.932354593416676e-05,4.1085853202578924e-05
5.757635153713636e-05,4.083330713910982e-05
6.812439096393064e-05,4.1463392133462345e-05
4.269748751539737e-05,4.2009390704657155e-05
7.04919220879674e-05,4.215706596571383e-05
7.068359991535544e-05,4.175429684336349e-05
3.373830622876994e-05,4.1257070228716155e-05
2.548769407439977e-05,4.123814667562126e-05
4.9263722758041695e-05,4.191221867384027e-05
3.418545384192839e-05,4.263389564584941e-05
4.429814362083562e-05,4.2586593432739996e-05
6.464271427830681e-05,4.173691538906294e-05
3.115177241852507e-05,4.130812764439421e-05
4.98256558785215e-05,4.165774246050407e-05
4.293129313737154e-05,4.2487953477474446e-05
6.0802631196565926e-05,4.3597556214081123e-05
4.5936089009046555e-05,4.373225561317263e-05
5.666019569616765e-05,4.278155797187032e-05
3.171944263158366e-05,4.1578251410909514e-05
6.660265353275463e-05,4.124306865883732e-05
2.650090209499467e-05,4.09874507264855e-05
6.05830573476851e-05,4.0887626811228176e-05
3.2494444894837216e-05,4.0973134673549794e-05
3.9345955883618444e-05,4.077572541266111e-05
6.77954958518967e-05,4.084364506221997e-05
5.481029438669793e-05,4.1136194340651855e-05
5.918218084843829e-05,4.1630818992012384e-05
5.0325776101090014e-05,4.190761400322016e-05
2.237973421870265e-05,4.141407245899447e-05
5.2376464736880735e-05,4.1048031966460665e-05
2.512380524422042e-05,4.0873685874329465e-05
3.4646731364773586e-05,4.095617239525179e-05
4.8696900194045156e-05,4.073156742379069e-05
2.0433562895050272e-05,4.068990670526141e-05
3.744820787687786e-05,4.060746828650331e-05
3.878554707625881e-05,4.0319145328895604e-05
5.672050974681042e-05,4.016262876878803e-05
6.568213575519621e-05,4.076994001580816e-05
4.2602274334058166e-05,4.112710181895333e-05
6.994516297709197e-05,4.1044461290261504e-05
6.937859143363312e-05,4.056524246859933e-05
3.340988769195974e-05,4.025219580701863e-05
2.4913424567785114e-05,4.056538515821254e-05
4.879877087660134e-05,4.1555340228822184e-05
3.3547818020451814e-05,4.233847276837979e-05
4.416426600073464e-05,4.2097992061624405e-05
6.361895066220313e-05,4.1037533972282996e-05
3.053480031667277e-05,4.055830726833342e-05
4.8858953960007057e-05,4.091152247080269e-05
4.2763589590322226e-05,4.1670628585658655e-05
6.011858204146847e-05,4.255132282398538e-05
4.507231278694235e-05,4.252049014515554e-05
5.5300755775533617e-05,4.167623491311032e-05
3.077551809838042e-05,4.0750036027424765e-05
6.595996819669381e-05,4.057028975997431e-05
2.6198202249361202e-05,4.043484598999688e-05
