转速<r/min>,扭矩<N.m>,油耗量<kg/h>,TJ实际轨压,点火角,节气门实际开度,空气流量,空燃比,T40<℃>
799.0291748046875,0.1651768758893013,0.502081181192156,10.007524967193604,15.087563514709473,5.026446580886841,6.800002574920654,0.9993679523468018,158.65238189697266
1095.2077941894531,-4.324439465999603,0.5019468665122986,10.7398099899292,18.39433002471924,6.6944239139556885,7.9448511600494385,1.0100343227386475,158.65238189697266
1600.8990478515625,-22.552117347717285,0.5181050056620583,12.789928913116455,7.735103607177734,11.99192190170288,12.12772274017334,1.0787720084190369,158.65238189697266
1797.7551879882812,-23.828301429748535,0.5206206440925598,13.26156759262085,-3.5901015400886536,14.562926292419434,14.55229663848877,1.108405888080597,158.65238189697266
1643.2006225585938,-14.270596504211426,0.7958709753547926,13.217146873474121,-8.506476640701294,14.376024723052979,14.659589767456055,1.4681851863861084,159.03617095947266
1373.3423461914062,-11.051110744476318,0.8475333452224731,13.165989398956299,-10.006684303283691,12.228703498840332,12.919783115386963,4.155150055885315,159.09500885009766
1275.8250732421875,-8.15346384048462,0.7652645437997214,12.396650791168213,-4.299107074737549,10.039224624633789,11.11607027053833,2.5002516508102417,159.25214385986328
1283.9234008789062,-6.391354560852051,0.7458003163337708,14.105135917663574,6.283203125,9.842809200286865,10.774475574493408,1.0784066319465637,159.25214385986328
1290.128173828125,-2.8554686307907104,0.6942438990184941,15.239313125610352,11.721649646759033,10.609483242034912,11.306441307067871,0.9826125204563141,159.25214385986328
1287.3733520507812,-1.2871051132678986,0.6793422102928162,15.810892105102539,12.301196575164795,11.365654945373535,12.731382846832275,0.9479889571666718,159.25214385986328
1298.3445434570312,-0.08505011349916458,0.8637098717628067,15.245206832885742,6.073453426361084,10.424175262451172,10.913922309875488,0.9168657064437866,159.25214385986328
1295.3011474609375,1.9672967195510864,0.9234877824783325,15.418551445007324,13.2299222946167,10.693801879882812,11.045597553253174,0.9265661537647247,159.56165313720703
1294.642822265625,3.512192726135254,0.9105943813533981,15.234461784362793,20.02072525024414,10.523472785949707,11.081615924835205,0.924788236618042,159.75202178955078
1308.6807861328125,3.1324870586395264,0.9059017300605774,16.290947437286377,7.229605197906494,11.220381736755371,11.730786800384521,0.9095664620399475,159.75202178955078
1358.0274047851562,3.490244746208191,0.902940072119236,16.88875102996826,21.1875,11.409950256347656,12.131256103515625,0.9434343874454498,159.75202178955078
1403.7085571289062,10.110034704208374,0.9015938639640808,25.77261447906494,21.9296875,22.643406867980957,21.484902381896973,0.9297727048397064,160.26428985595703
1419.2022705078125,31.99270725250244,1.390788613068752,32.11636543273926,20.367307662963867,25.63751983642578,27.39923667907715,0.9832970201969147,160.71165466308594
1446.8546752929688,42.82963943481445,1.643951654434204,33.53526496887207,18.403698921203613,29.554094314575195,32.53647232055664,0.9979478418827057,161.30966186523438
1693.20263671875,49.73966979980469,1.8918916097621328,34.6187744140625,16.298969268798828,32.31433963775635,42.284278869628906,1.0050841569900513,162.84265899658203
1991.076416015625,48.86506652832031,2.0382168292999268,34.39980888366699,19.735602378845215,32.9334831237793,43.991634368896484,0.9875430762767792,165.23146057128906
1801.0855712890625,44.6107292175293,2.3109602135450102,30.196481704711914,24.86992359161377,21.99229907989502,24.178966522216797,0.9795206785202026,168.57861328125
1838.4917602539062,36.731468200683594,2.495497226715088,33.52742576599121,18.557642936706543,33.939595222473145,50.76268196105957,1.0345863699913025,171.19666290283203
2088.1624145507812,59.95057678222656,2.610242857908209,34.961822509765625,16.671875,35.83685493469238,55.506744384765625,0.9894008636474609,175.11190032958984
2139.3319091796875,51.86475372314453,2.7004382610321045,30.728191375732422,26.547680854797363,24.748748779296875,28.665528297424316,0.9576931893825531,180.91339874267578
2191.2525634765625,20.870189666748047,2.7636387916426584,28.77410316467285,28.92746067047119,24.023310661315918,24.716076850891113,0.9922830164432526,185.21385192871094
2256.5264892578125,16.67267370223999,2.820612668991089,28.722187042236328,29.53026294708252,26.422825813293457,28.288415908813477,0.9920101761817932,188.1892547607422
2432.8809814453125,10.686296463012695,2.820612668991089,24.546276092529297,13.431994438171387,21.77683734893799,23.39818286895752,1.0475524067878723,191.10480499267578
2165.030517578125,5.505224376916885,2.240161418914795,28.61192035675049,25.295984268188477,28.084077835083008,30.783677101135254,0.9761861562728882,193.65139770507812
1744.26953125,46.098228454589844,2.240161418914795,34.01611328125,20.957473754882812,32.00576591491699,39.99099922180176,0.9998030662536621,196.4086685180664
1844.7044067382812,60.34080123901367,2.2946332995755685,34.87591552734375,16.814766883850098,34.01346969604492,48.991943359375,1.007720172405243,199.88748931884766
1687.8405151367188,66.28623962402344,2.296082019805908,33.715036392211914,20.028141021728516,31.042736053466797,37.19242286682129,0.9906958043575287,204.35761260986328
1482.246337890625,66.28374862670898,2.758230318828505,34.84780693054199,15.484055995941162,32.17997741699219,41.97881317138672,1.0160946249961853,208.21234130859375
1531.7884521484375,78.55081558227539,2.7830770015716553,35.04384231567383,11.609615325927734,36.063764572143555,52.02511787414551,1.0128706097602844,212.1063995361328
1568.933349609375,87.0200309753418,3.014803634545742,35.049970626831055,11.671154022216797,34.32241630554199,49.42845344543457,1.0030404925346375,216.1548309326172
1579.36865234375,79.14603042602539,3.0327272415161133,34.44583511352539,15.625,31.35241413116455,39.12047576904297,0.9796442985534668,220.7802963256836
1622.4926147460938,59.117082595825195,3.2422057594042366,33.91004753112793,18.48769474029541,29.966617584228516,34.92646026611328,0.9857329428195953,224.55581665039062
